link,category,id,category_friendly
https://www.hellofresh.de/recipes/tikka-masala-curry-mit-susskartoffel-6177c4e3602571520717e172,indische-rezepte,6177c4e3602571520717e172,indisch
https://www.hellofresh.de/recipes/tikka-masala-curry-mit-susskartoffel-6488201c7e150bb1b2039e52,indische-rezepte,6488201c7e150bb1b2039e52,indisch
https://www.hellofresh.de/recipes/mildes-hahnchencurry-mit-krauterreis-643e11ee1318e6c52f00ff80,indische-rezepte,643e11ee1318e6c52f00ff80,indisch
https://www.hellofresh.de/recipes/scharfer-sriracha-blumenkohl-mit-dalsosse-652cfffb6720825b47fd8095,indische-rezepte,652cfffb6720825b47fd8095,indisch
https://www.hellofresh.de/recipes/kokos-tikka-masala-mit-blumenkohl-625409de99d0532a0514a59a,indische-rezepte,625409de99d0532a0514a59a,indisch
https://www.hellofresh.de/recipes/hahnchen-reispfanne-mit-aprikosen-minz-joghurt-661e8e8e019ddbd535c039c8,indische-rezepte,661e8e8e019ddbd535c039c8,indisch
https://www.hellofresh.de/recipes/cremiges-hahnchencurry-mit-kichererbsen-64c8725b11eb633edf03bc95,indische-rezepte,64c8725b11eb633edf03bc95,indisch
https://www.hellofresh.de/recipes/cremiges-hahnchencurry-mit-kichererbsen-637c84ba186e21964607fdcf,indische-rezepte,637c84ba186e21964607fdcf,indisch
https://www.hellofresh.de/recipes/cremiges-hahnchencurry-mit-kichererbsen-62f67559674b6dee12022b1f,indische-rezepte,62f67559674b6dee12022b1f,indisch
https://www.hellofresh.de/recipes/gelbes-curry-mit-buntem-ofengemuse-and-erdnussen-624bfc0c4b45925aaf5f1159,indische-rezepte,624bfc0c4b45925aaf5f1159,indisch
https://www.hellofresh.de/recipes/mildes-mandel-kokos-curry-mit-rosinenreis-5f514b442895131a4c06534c,indische-rezepte,5f514b442895131a4c06534c,indisch
https://www.hellofresh.de/recipes/tandoori-blumenkohl-in-tomatiger-dalsosse-61f0fbeecf667676b4587b3f,indische-rezepte,61f0fbeecf667676b4587b3f,indisch
